File Name,bleeding/non-bleeding,bounding_box
A0177.png,bleeding, ['0 0.33171 0.796 0.54488 0.351632 0.106543']
A0398.png,bleeding, ['0 0.627369 0.631845 0.645975 0.703853 0.369824']
A0399.png,bleeding,-
A0407.png,bleeding, ['0 0.525917 0.608594 0.352354 0.206097 0.303604']
A0408.png,bleeding, ['0 0.404883 0.271503 0.80272 0.543006 0.268458']
A0451.png,bleeding,-
A0349.png,bleeding, ['0 0.505921 0.544162 0.974383 0.904597 0.250023']
A0555.png,non-bleeding,-
A0358.png,non-bleeding,-
A0178.png,bleeding, ['0 0.753044 0.711664 0.493912 0.4326 0.084598']
A0180.png,bleeding,-
A0348.png,bleeding, ['0 0.505921 0.544162 0.974383 0.904597 0.250023' '0 0.891116 0.3362 0.217769 0.467665 0.229435']
A0054.png,non-bleeding,-
A0473.png,bleeding, ['0 0.0829111 0.356592 0.16207 0.428523 0.172168']
A0364.png,bleeding, ['0 0.496809 0.527396 0.989555 0.94137 0.219954']
A0556.png,non-bleeding,-
A0355.png,bleeding, ['0 0.457794 0.732755 0.766053 0.455629 0.22385']
A0559.png,non-bleeding,-
A0448.png,bleeding, ['0 0.603706 0.653365 0.777514 0.685131 0.279336']
A0447.png,bleeding, ['0 0.603706 0.653365 0.777514 0.685131 0.279336']
A0397.png,bleeding, ['0 0.27874 0.601262 0.355343 0.267769 0.545234']
A0449.png,bleeding, ['0 0.863152 0.893091 0.270849 0.212626 0.0943361']
A0377.png,non-bleeding,-
A0553.png,non-bleeding,-
A0499.png,bleeding, ['0 0.590675 0.334273 0.239128 0.445353 0.207306' '0 0.536271 0.336164 0.351463 0.444287 0.20587']
A0446.png,bleeding, ['0 0.842443 0.664385 0.302686 0.415241 0.219776']
A0512.png,non-bleeding,-
A0452.png,bleeding,-
A0133.png,bleeding, ['0 0.455611 0.222847 0.105274 0.146774 0.542071']
A0367.png,bleeding,-
A0144.png,bleeding, ['0 0.801226 0.259646 0.322336 0.386615 0.0876047']
A0479.png,non-bleeding,-
A0558.png,non-bleeding,-
A0179.png,bleeding, ['0 0.756434 0.750909 0.476351 0.482557 0.222687']
